Wavelength,Trace A,Trace B
1512.33,8.98E-07,3.29E-07
1512.43,9.02E-07,3.36E-07
1512.53,9.06E-07,3.33E-07
1512.63,9.10E-07,3.37E-07
1512.73,9.22E-07,3.37E-07
1512.83,9.30E-07,3.40E-07
1512.93,9.34E-07,3.39E-07
1513.03,9.42E-07,3.47E-07
1513.13,9.48E-07,3.46E-07
1513.23,9.53E-07,3.50E-07
1513.33,9.62E-07,3.53E-07
1513.43,9.71E-07,3.55E-07
1513.53,9.74E-07,3.55E-07
1513.63,9.81E-07,3.59E-07
1513.73,9.89E-07,3.62E-07
1513.83,9.95E-07,3.64E-07
1513.93,1.01E-06,3.66E-07
1514.03,1.01E-06,3.72E-07
1514.13,1.02E-06,3.73E-07
1514.23,1.03E-06,3.79E-07
1514.33,1.03E-06,3.79E-07
1514.43,1.04E-06,3.82E-07
1514.53,1.05E-06,3.81E-07
1514.63,1.06E-06,3.85E-07
1514.73,1.06E-06,3.89E-07
1514.83,1.07E-06,3.91E-07
1514.93,1.08E-06,3.95E-07
1515.03,1.09E-06,3.98E-07
1515.13,1.10E-06,4.03E-07
1515.23,1.11E-06,4.06E-07
1515.33,1.12E-06,4.08E-07
1515.43,1.12E-06,4.11E-07
1515.53,1.13E-06,4.16E-07
1515.63,1.14E-06,4.21E-07
1515.73,1.15E-06,4.23E-07
1515.83,1.16E-06,4.24E-07
1515.93,1.17E-06,4.28E-07
1516.03,1.18E-06,4.31E-07
1516.13,1.18E-06,4.34E-07
1516.23,1.19E-06,4.34E-07
1516.33,1.20E-06,4.38E-07
1516.43,1.21E-06,4.46E-07
1516.53,1.22E-06,4.45E-07
1516.63,1.23E-06,4.45E-07
1516.73,1.24E-06,4.48E-07
1516.83,1.25E-06,4.54E-07
1516.93,1.26E-06,4.57E-07
1517.03,1.27E-06,4.63E-07
1517.13,1.27E-06,4.67E-07
1517.23,1.28E-06,4.68E-07
1517.33,1.29E-06,4.69E-07
1517.43,1.30E-06,4.75E-07
1517.53,1.31E-06,4.79E-07
1517.63,1.32E-06,4.83E-07
1517.73,1.33E-06,4.86E-07
1517.83,1.34E-06,4.92E-07
1517.93,1.35E-06,4.94E-07
1518.03,1.36E-06,4.98E-07
1518.13,1.37E-06,5.04E-07
1518.23,1.38E-06,5.03E-07
1518.33,1.40E-06,5.10E-07
1518.43,1.41E-06,5.14E-07
1518.53,1.41E-06,5.14E-07
1518.63,1.43E-06,5.17E-07
1518.73,1.44E-06,5.24E-07
1518.83,1.45E-06,5.28E-07
1518.93,1.46E-06,5.32E-07
1519.03,1.47E-06,5.34E-07
1519.13,1.48E-06,5.39E-07
1519.23,1.49E-06,5.43E-07
1519.33,1.50E-06,5.47E-07
1519.43,1.51E-06,5.52E-07
1519.53,1.52E-06,5.56E-07
1519.63,1.53E-06,5.56E-07
1519.73,1.54E-06,5.62E-07
1519.83,1.56E-06,5.65E-07
1519.93,1.57E-06,5.73E-07
1520.03,1.58E-06,5.80E-07
1520.13,1.59E-06,5.83E-07
1520.23,1.60E-06,5.86E-07
1520.33,1.62E-06,5.87E-07
1520.43,1.63E-06,5.93E-07
1520.53,1.64E-06,5.95E-07
1520.63,1.65E-06,6.05E-07
1520.73,1.66E-06,6.07E-07
1520.83,1.67E-06,6.10E-07
1520.93,1.68E-06,6.13E-07
1521.03,1.70E-06,6.19E-07
1521.13,1.71E-06,6.21E-07
1521.23,1.72E-06,6.27E-07
1521.33,1.73E-06,6.29E-07
1521.43,1.75E-06,6.35E-07
1521.53,1.76E-06,6.42E-07
1521.63,1.77E-06,6.41E-07
1521.73,1.78E-06,6.50E-07
1521.83,1.80E-06,6.54E-07
1521.93,1.81E-06,6.56E-07
1522.03,1.83E-06,6.62E-07
1522.13,1.84E-06,6.68E-07
1522.23,1.85E-06,6.75E-07
1522.33,1.87E-06,6.82E-07
1522.43,1.88E-06,6.83E-07
1522.53,1.89E-06,6.90E-07
1522.63,1.91E-06,6.94E-07
1522.73,1.91E-06,6.99E-07
1522.83,1.93E-06,7.04E-07
1522.93,1.95E-06,7.11E-07
1523.03,1.96E-06,7.17E-07
1523.13,1.98E-06,7.21E-07
1523.23,2.00E-06,7.23E-07
1523.33,2.01E-06,7.31E-07
1523.43,2.02E-06,7.36E-07
1523.53,2.04E-06,7.41E-07
1523.63,2.06E-06,7.45E-07
1523.73,2.07E-06,7.51E-07
1523.83,2.09E-06,7.59E-07
1523.93,2.09E-06,7.66E-07
1524.03,2.12E-06,7.66E-07
1524.13,2.12E-06,7.75E-07
1524.23,2.14E-06,7.80E-07
1524.33,2.16E-06,7.82E-07
1524.43,2.17E-06,7.89E-07
1524.53,2.19E-06,7.98E-07
1524.63,2.21E-06,8.01E-07
1524.73,2.23E-06,8.07E-07
1524.83,2.24E-06,8.16E-07
1524.93,2.26E-06,8.16E-07
1525.03,2.27E-06,8.25E-07
1525.13,2.29E-06,8.29E-07
1525.23,2.31E-06,8.38E-07
1525.33,2.32E-06,8.45E-07
1525.43,2.33E-06,8.48E-07
1525.53,2.36E-06,8.54E-07
1525.63,2.37E-06,8.61E-07
1525.73,2.39E-06,8.65E-07
1525.83,2.41E-06,8.74E-07
1525.93,2.43E-06,8.80E-07
1526.03,2.44E-06,8.84E-07
1526.13,2.47E-06,8.94E-07
1526.23,2.49E-06,9.02E-07
1526.33,2.50E-06,9.03E-07
1526.43,2.52E-06,9.13E-07
1526.53,2.54E-06,9.19E-07
1526.63,2.55E-06,9.24E-07
1526.73,2.57E-06,9.31E-07
1526.83,2.59E-06,9.35E-07
1526.93,2.61E-06,9.45E-07
1527.03,2.62E-06,9.48E-07
1527.13,2.64E-06,9.59E-07
1527.23,2.65E-06,9.66E-07
1527.33,2.68E-06,9.72E-07
1527.43,2.69E-06,9.83E-07
1527.53,2.72E-06,9.83E-07
1527.63,2.73E-06,9.89E-07
1527.73,2.74E-06,1.00E-06
1527.83,2.77E-06,1.01E-06
1527.93,2.79E-06,1.01E-06
1528.03,2.81E-06,1.02E-06
1528.13,2.83E-06,1.03E-06
1528.23,2.84E-06,1.03E-06
1528.33,2.87E-06,1.04E-06
1528.43,2.89E-06,1.05E-06
1528.53,2.90E-06,1.06E-06
1528.63,2.93E-06,1.06E-06
1528.73,2.95E-06,1.07E-06
1528.83,2.96E-06,1.08E-06
1528.93,2.99E-06,1.10E-06
1529.03,3.01E-06,1.10E-06
1529.13,3.03E-06,1.11E-06
1529.23,3.06E-06,1.11E-06
1529.33,3.08E-06,1.12E-06
1529.43,3.11E-06,1.13E-06
1529.53,3.12E-06,1.14E-06
1529.63,3.14E-06,1.15E-06
1529.73,3.17E-06,1.16E-06
1529.83,3.20E-06,1.17E-06
1529.93,3.22E-06,1.18E-06
1530.03,3.23E-06,1.19E-06
1530.13,3.25E-06,1.20E-06
1530.23,3.28E-06,1.20E-06
1530.33,3.30E-06,1.21E-06
1530.43,3.32E-06,1.22E-06
1530.53,3.35E-06,1.23E-06
1530.63,3.36E-06,1.24E-06
1530.73,3.39E-06,1.25E-06
1530.83,3.41E-06,1.25E-06
1530.93,3.44E-06,1.26E-06
1531.03,3.46E-06,1.27E-06
1531.13,3.48E-06,1.28E-06
1531.23,3.50E-06,1.29E-06
1531.33,3.53E-06,1.30E-06
1531.43,3.55E-06,1.31E-06
1531.53,3.58E-06,1.32E-06
1531.63,3.59E-06,1.33E-06
1531.73,3.62E-06,1.34E-06
1531.83,3.65E-06,1.35E-06
1531.93,3.67E-06,1.36E-06
1532.03,3.69E-06,1.37E-06
1532.13,3.72E-06,1.38E-06
1532.23,3.74E-06,1.39E-06
1532.33,3.77E-06,1.40E-06
1532.43,3.79E-06,1.41E-06
1532.53,3.82E-06,1.42E-06
1532.63,3.84E-06,1.43E-06
1532.73,3.88E-06,1.44E-06
1532.83,3.91E-06,1.45E-06
1532.93,3.93E-06,1.46E-06
1533.03,3.96E-06,1.47E-06
1533.13,3.99E-06,1.48E-06
1533.23,4.01E-06,1.49E-06
1533.33,4.04E-06,1.50E-06
1533.43,4.06E-06,1.52E-06
1533.53,4.09E-06,1.53E-06
1533.63,4.13E-06,1.54E-06
1533.73,4.15E-06,1.55E-06
1533.83,4.18E-06,1.56E-06
1533.93,4.21E-06,1.57E-06
1534.03,4.25E-06,1.58E-06
1534.13,4.27E-06,1.60E-06
1534.23,4.30E-06,1.61E-06
1534.33,4.33E-06,1.62E-06
1534.43,4.35E-06,1.63E-06
1534.53,4.38E-06,1.64E-06
1534.63,4.41E-06,1.65E-06
1534.73,4.43E-06,1.66E-06
1534.83,4.47E-06,1.67E-06
1534.93,4.49E-06,1.68E-06
1535.03,4.52E-06,1.69E-06
1535.13,4.54E-06,1.70E-06
1535.23,4.57E-06,1.71E-06
1535.33,4.60E-06,1.72E-06
1535.43,4.64E-06,1.73E-06
1535.53,4.65E-06,1.74E-06
1535.63,4.69E-06,1.75E-06
1535.73,4.72E-06,1.77E-06
1535.83,4.74E-06,1.78E-06
1535.93,4.77E-06,1.79E-06
1536.03,4.80E-06,1.80E-06
1536.13,4.83E-06,1.81E-06
1536.23,4.86E-06,1.82E-06
1536.33,4.89E-06,1.84E-06
1536.43,4.92E-06,1.84E-06
1536.53,4.95E-06,1.85E-06
1536.63,4.98E-06,1.87E-06
1536.73,5.02E-06,1.87E-06
